Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
JPEG Q=10,66.927826,8.180943,29.874736,5.362556,0.076196,0.995546,0.996124,0.923804,0.852009,0.954706,0.402769,0.715567,0.321177
JPEG Q=30,27.975121,5.289151,33.663084,3.219940,0.045752,0.998141,0.999012,0.954248,0.933844,0.988108,0.596119,0.821025,0.480556
JPEG Q=50,18.070763,4.250972,35.561039,2.561989,0.036403,0.998799,0.999135,0.963597,0.954553,0.993420,0.683375,0.863937,0.553045
JPEG Q=90,3.402061,1.844468,42.813382,1.148804,0.016323,0.999774,0.999779,0.983677,0.987846,0.998598,0.863032,0.959287,0.781635
