Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Gauss σ=10,96.569637,9.826985,28.282398,7.842304,0.111430,0.993587,0.990782,0.888570,0.633855,0.939053,0.393967,0.722642,0.401531
Gauss σ=25,552.206654,23.499078,20.709787,18.671246,0.265296,0.964735,0.975215,0.734704,0.330696,0.808942,0.218167,0.547474,0.222512
Gauss σ=50,1928.668682,43.916611,15.278227,34.558750,0.491039,0.892351,0.949948,0.508961,0.169747,0.645435,0.116168,0.419602,0.138870
