Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
S&P d=0.01,437.710632,20.921535,21.718933,2.526314,0.035896,0.972332,0.997676,0.964104,0.494334,0.852519,0.478133,0.894553,0.702485
S&P d=0.05,2066.120235,45.454595,14.979248,11.988682,0.170345,0.888785,0.987334,0.829655,0.181114,0.651547,0.138860,0.625598,0.370354
S&P d=0.1,3864.045528,62.161447,12.260381,22.572872,0.320734,0.819391,0.971389,0.679266,0.114439,0.541279,0.083676,0.458570,0.213245
