Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Brilho α=0.5 β=-50,20405.027439,142.846167,5.033432,137.595676,0.771002,0.957235,0.456146,0.228998,0.318049,0.309382,0.140293,0.898005,0.501553
Brilho α=1.5 β=+50,5809.258308,76.218491,10.489597,59.049141,0.330875,0.963236,1.140725,0.669125,0.780427,0.767942,0.406858,0.585941,0.489056
