Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
JPEG Q=10,232.185623,15.237638,24.472450,8.484818,0.047544,0.996813,0.997635,0.952456,0.751541,0.951758,0.342020,0.641691,0.184284
JPEG Q=30,128.159710,11.320765,27.053288,6.463383,0.036217,0.998242,0.998489,0.963783,0.855000,0.983069,0.479925,0.676806,0.299725
JPEG Q=50,85.068935,9.223282,28.833094,5.452656,0.030553,0.998834,0.998806,0.969447,0.896827,0.989483,0.536108,0.715773,0.368660
JPEG Q=90,9.051979,3.008651,38.563368,1.913589,0.010723,0.999876,0.999747,0.989277,0.984652,0.998675,0.661537,0.897984,0.708975
