Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Brilho α=0.5 β=-50,4486.953629,66.984727,11.611288,59.138367,0.966473,0.582229,0.093629,0.033527,0.024836,0.022598,0.020160,0.730349,0.102758
Brilho α=1.5 β=+50,6412.205929,80.076251,10.060729,78.417767,1.281548,0.973491,1.499923,-0.281548,0.652977,0.658928,0.624943,0.647892,1.168312
