Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
S&P d=0.01,436.575459,20.894388,21.730210,2.523388,0.041239,0.960519,0.999279,0.958761,0.498346,0.824802,0.496905,0.848768,0.719227
S&P d=0.05,2057.493835,45.359606,14.997418,11.976799,0.195732,0.855429,0.995730,0.804268,0.165100,0.590536,0.133426,0.580494,0.370937
S&P d=0.1,3826.055138,61.855114,12.303291,22.453369,0.366946,0.782418,0.988046,0.633054,0.097417,0.475708,0.073818,0.400862,0.205807
