Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Gauss σ=10,99.173901,9.958609,28.166830,7.921055,0.147537,0.986768,0.989715,0.852463,0.556250,0.906116,0.295273,0.874819,0.386518
Gauss σ=25,575.334621,23.986134,20.531599,19.280575,0.359118,0.930025,0.958316,0.640882,0.252967,0.721687,0.155000,0.723619,0.213790
Gauss σ=50,1866.801918,43.206503,15.419821,34.888855,0.649837,0.826910,0.916687,0.350163,0.124907,0.538917,0.080820,0.542333,0.138121
