Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Brilho α=0.5 β=-50,3339.037457,57.784405,12.894591,52.522869,0.978287,0.503849,0.051338,0.021713,0.020033,0.015934,0.010051,0.664811,0.111655
Brilho α=1.5 β=+50,5751.127808,75.836191,10.533273,74.972931,1.396440,0.970788,1.536319,-0.396440,0.656265,0.660980,0.600702,0.644028,1.137896
