Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
JPEG Q=10,58.405701,7.642362,30.466251,4.747864,0.088433,0.992151,0.998715,0.911567,0.876654,0.941513,0.305766,0.828893,0.305325
JPEG Q=30,24.566040,4.956414,34.227452,2.685219,0.050015,0.996697,0.999242,0.949985,0.944134,0.985120,0.487270,0.907441,0.471122
JPEG Q=50,15.974529,3.996815,36.096523,2.103184,0.039174,0.997852,0.998934,0.960826,0.961539,0.992145,0.569871,0.935928,0.547945
JPEG Q=90,2.808094,1.675737,43.646687,0.942921,0.017563,0.999623,0.999783,0.982437,0.988452,0.998163,0.776619,0.986935,0.767173
