Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Brilho α=0.5 β=-50,23073.043072,151.898134,4.499755,147.752239,0.744041,0.982385,0.494810,0.255959,0.382619,0.366000,0.302611,0.855015,0.563160
Brilho α=1.5 β=+50,3223.662601,56.777307,13.047308,43.999249,0.221569,0.982662,1.097315,0.778431,0.641039,0.642801,0.221501,0.458558,0.252081
