Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
S&P d=0.01,492.198170,22.185540,21.209404,2.533131,0.012756,0.994255,0.991132,0.987244,0.602522,0.862820,0.569393,0.930312,0.745089
S&P d=0.05,2409.178467,49.083383,14.312114,12.316872,0.062025,0.971655,0.956190,0.937975,0.277960,0.685380,0.241197,0.723818,0.413765
S&P d=0.1,4660.382675,68.266996,11.446588,23.778755,0.119744,0.944616,0.914381,0.880256,0.188615,0.590687,0.159135,0.557753,0.244613
