Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
JPEG Q=10,224.329563,14.977635,24.621939,8.571156,0.043162,0.997383,0.998074,0.956838,0.795545,0.949631,0.414815,0.654612,0.278015
JPEG Q=30,111.729103,10.570199,27.649140,5.801460,0.029215,0.998698,0.998937,0.970785,0.895396,0.984939,0.585493,0.750668,0.413949
JPEG Q=50,69.634087,8.344704,29.702585,4.650826,0.023420,0.999189,0.999140,0.976580,0.931063,0.991455,0.670038,0.796931,0.487109
JPEG Q=90,6.548157,2.558937,39.969613,1.547768,0.007794,0.999924,0.999863,0.992206,0.989261,0.998739,0.831372,0.942030,0.775123
