Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Brilho α=0.5 β=-50,10637.860523,103.140004,7.862261,97.580296,0.894404,0.825942,0.264259,0.105596,0.130563,0.121383,0.109971,0.834224,0.323544
Brilho α=1.5 β=+50,9077.339504,95.275073,8.551218,92.743382,0.850070,0.979418,1.351545,0.149930,0.719600,0.729956,0.593447,0.644356,0.835040
