Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
S&P d=0.01,375.138046,19.368481,22.388892,2.537491,0.023258,0.986962,0.994662,0.976742,0.493286,0.850891,0.487135,0.905974,0.716444
S&P d=0.05,1780.802418,42.199555,15.624646,12.103550,0.110939,0.941953,0.973617,0.889061,0.200087,0.648818,0.155993,0.657679,0.382404
S&P d=0.1,3370.025105,58.051917,12.854472,22.949932,0.210355,0.896383,0.946001,0.789645,0.127941,0.543023,0.097092,0.486214,0.212171
