Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Blur k=3,75.042423,8.662703,29.377735,3.696178,0.033879,0.997343,0.999158,0.966121,0.912505,0.990759,0.747871,0.853885,0.443117
Blur k=7,146.497814,12.103628,26.472492,5.523449,0.050627,0.994807,0.998032,0.949373,0.840171,0.974726,0.576451,0.710107,0.301510
Blur k=15,237.102341,15.398128,24.381445,7.531471,0.069032,0.991585,0.996744,0.930968,0.762194,0.943264,0.438670,0.587727,0.216100
