Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
JPEG Q=10,105.146538,10.254099,27.912854,6.253990,0.057323,0.996270,0.997788,0.942677,0.809888,0.943133,0.376701,0.714381,0.256389
JPEG Q=30,50.844032,7.130500,31.068404,4.109955,0.037671,0.998198,0.999098,0.962329,0.890603,0.981503,0.573286,0.805151,0.389338
JPEG Q=50,34.323250,5.858605,32.774920,3.417511,0.031324,0.998784,0.999266,0.968676,0.915727,0.988727,0.662559,0.845294,0.454205
JPEG Q=90,6.151844,2.480291,40.240750,1.642963,0.015059,0.999782,0.999861,0.984941,0.972127,0.997239,0.846645,0.954601,0.704337
